gene_id	chr	strand	transcript_id
TSC22D1	NC_000013.11	-	['NM_183422.4 (MANE)', 'NM_001243797.2', 'NM_001243798.2', 'NM_001243799.1', 'NM_006022.4', 'XM_017020810.3', 'XM_017020811.3', 'XM_047430715.1', 'XM_047430716.1', 'XM_047430717.1', 'XM_047430718.1', 'XM_047430719.1']
TSC22D2	NC_000003.12	+	['NM_001303264.2 (MANE)', 'NM_014779.4', 'XM_011513337.4']
TSC22D3	NC_000023.11	-	['NM_198057.3 (MANE)', 'NM_001015881.2', 'NM_001318468.1', 'NM_001318470.1', 'NM_004089.4']
TSC22D4	NC_000007.14	-	['NM_030935.5 (MANE)', 'NM_001303043.2']
TSC22D4-C7ORF61	NC_000007.14	-	['NM_001395846.1']
TSEN15	NC_000001.11	+	['NM_052965.4 (MANE)', 'NM_001127394.4', 'NM_001300764.2', 'NM_001300766.2', 'NM_001363643.2']
TSEN2	NC_000003.12	+	['NM_025265.4 (MANE)', 'NM_001145392.2', 'NM_001145393.3', 'NM_001145394.2', 'NM_001321277.2', 'NM_001321278.2', 'NM_001321279.2', 'XM_011534139.4', 'XM_017007292.2', 'XM_017007293.2', 'XM_017007294.2', 'XM_017007295.3', 'XM_017007296.3', 'XM_024453785.2', 'XM_047449029.1', 'XM_047449030.1', 'XM_047449031.1', 'XM_047449032.1', 'XM_047449033.1', 'XM_047449034.1']
TSEN34	NC_000019.10	+	['NM_001077446.4 (MANE)', 'NM_001282332.2', 'NM_001282333.2', 'NM_001386740.1', 'NM_024075.5', 'XM_011527294.4', 'XM_047439391.1']
TSEN54	NC_000017.11	+	['NM_207346.3 (MANE)']
TSFM	NC_000012.12	+	['NM_005726.6 (MANE)', 'NM_001172695.2', 'NM_001172696.2', 'NM_001172697.2']
TSG101	NC_000011.10	-	['NM_006292.4 (MANE)', 'XM_005253108.5']
TSGA10	NC_000002.12	-	['NM_025244.4 (MANE)', 'NM_001349012.1', 'NM_001349013.2', 'NM_001349014.1', 'NM_182911.4', 'XM_005264023.2', 'XM_006712781.3', 'XM_011511934.1', 'XM_011511935.4', 'XM_017005035.2', 'XM_017005037.1', 'XM_017005041.3', 'XM_017005044.2', 'XM_017005046.2', 'XM_024453158.2', 'XM_047445928.1', 'XM_047445929.1', 'XM_047445930.1', 'XM_047445931.1', 'XM_047445932.1', 'XM_047445933.1', 'XM_047445934.1']
TSGA10IP	NC_000011.10	+	['NM_152762.3 (MANE)', 'NM_001395491.1', 'NM_001395492.1', 'NM_001395493.1', 'NM_001395494.1', 'NM_001395495.1', 'XM_047426706.1']
TSGA13	NC_000007.14	-	['NM_052933.4 (MANE)', 'NM_001304968.2']
TSHB	NC_000001.11	+	['NM_000549.5 (MANE)', 'NM_001277991.1']
TSHR	NC_000014.9	+	['NM_000369.5 (MANE)', 'NM_001018036.3', 'NM_001142626.3', 'XM_011537119.3']
TSHZ1	NC_000018.10	+	['NM_001308210.2 (MANE)', 'NM_005786.6']
TSHZ2	NC_000020.11	+	['NM_173485.6 (MANE)', 'NM_001193421.2', 'XM_017027641.2', 'XM_047439873.1', 'XM_047439874.1', 'XM_047439875.1', 'XM_047439876.1', 'XM_047439877.1', 'XM_047439878.1', 'XM_047439879.1']
TSHZ3	NC_000019.10	-	['NM_020856.4 (MANE)', 'XM_047439132.1']
TSKS	NC_000019.10	-	['NM_021733.2 (MANE)']
TSKU	NC_000011.10	+	['NM_015516.4 (MANE)', 'NM_001258210.2', 'NM_001318477.2', 'NM_001318478.2', 'NM_001318479.2', 'XM_047426726.1']
TSLP	NC_000005.10	+	['NM_033035.5 (MANE)', 'NM_138551.5', 'XM_011543698.2', 'XM_047417846.1', 'XM_047417847.1']
TSN	NC_000002.12	+	['NM_004622.3 (MANE)', 'NM_001261401.2']
TSNARE1	NC_000008.11	-	['NM_145003.5 (MANE)', 'NM_001291931.2', 'NM_001363740.2', 'NM_001366901.1', 'NM_001366902.1', 'NM_001366903.1', 'NM_001366904.1', 'XM_011516912.3', 'XM_011516921.2', 'XM_011516924.2', 'XM_017013179.2', 'XM_047421457.1', 'XM_047421458.1', 'XM_047421459.1', 'XM_047421460.1', 'XM_047421461.1', 'XM_047421462.1', 'XM_047421463.1', 'XM_047421464.1', 'XM_047421465.1', 'XM_047421466.1', 'XM_047421467.1', 'XM_047421468.1', 'XM_047421469.1', 'XM_047421470.1', 'XM_047421471.1', 'XM_047421472.1', 'XM_047421473.1', 'XM_047421474.1', 'XM_047421475.1', 'XM_047421476.1', 'XM_047421477.1', 'XM_047421478.1', 'XM_047421479.1', 'XM_047421480.1', 'XM_047421481.1', 'XM_047421482.1', 'XM_047421483.1', 'XM_047421484.1', 'XM_047421485.1', 'XM_047421486.1', 'XM_047421487.1', 'XM_047421488.1', 'XM_047421489.1', 'XM_047421490.1', 'XM_047421491.1']
TSNAX	NC_000001.11	+	['NM_005999.3 (MANE)']
TSNAXIP1	NC_000016.10	+	['NM_001288990.3 (MANE)', 'NM_001288991.3', 'NM_001288992.3', 'NM_001288993.3', 'NM_001288994.3', 'NM_001351158.2', 'NM_018430.4', 'XM_005256049.5', 'XM_011523230.3', 'XM_011523231.3', 'XM_011523232.3', 'XM_011523233.3', 'XM_011523234.3', 'XM_011523236.4', 'XM_011523237.3', 'XM_011523238.2', 'XM_011523239.2', 'XM_017023445.3', 'XM_017023446.2', 'XM_017023447.3', 'XM_017023448.2', 'XM_017023449.3', 'XM_024450350.2', 'XM_024450351.2']
TSPAN1	NC_000001.11	+	['NM_005727.4 (MANE)', 'XM_011540460.4', 'XM_047420887.1', 'XM_047420922.1', 'XM_047420946.1', 'XM_047420982.1', 'XM_047421003.1']
TSPAN10	NC_000017.11	+	['NM_001290212.2 (MANE)', 'NM_031945.5', 'XM_047436887.1']
TSPAN11	NC_000012.12	+	['NM_001370302.1 (MANE)', 'NM_001080509.3', 'NM_001370301.1', 'XM_011520679.3']
TSPAN12	NC_000007.14	-	['NM_012338.4 (MANE)', 'XM_005250239.4', 'XM_047420095.1', 'XM_047420096.1', 'XM_047420097.1']
TSPAN13	NC_000007.14	+	['NM_014399.4 (MANE)']
TSPAN14	NC_000010.11	+	['NM_030927.4 (MANE)', 'NM_001128309.3', 'NM_001351266.2', 'NM_001351267.4', 'NM_001351268.2', 'NM_001351269.2', 'NM_001351270.2', 'NM_001351271.2', 'NM_001351272.2']
TSPAN15	NC_000010.11	+	['NM_012339.5 (MANE)', 'NM_001351263.2', 'XM_005269666.5', 'XM_011539562.3', 'XM_011539563.3', 'XM_017016010.2', 'XM_047424930.1']
TSPAN16	NC_000019.10	+	['NM_001282509.2 (MANE)', 'NM_001282510.2', 'NM_012466.4', 'XM_011527901.2', 'XM_011527902.2', 'XM_011527903.4', 'XM_024451450.2']
TSPAN17	NC_000005.10	+	['NM_130465.5 (MANE)', 'NM_001006616.3', 'NM_001366491.2', 'NM_001366492.2', 'NM_012171.3']
TSPAN18	NC_000011.10	+	['NM_130783.5 (MANE)', 'XM_005253217.4', 'XM_006718372.4', 'XM_011520459.4', 'XM_047427846.1', 'XM_047427847.1', 'XM_047427848.1', 'XM_047427849.1']
TSPAN19	NC_000012.12	-	['NM_001100917.2 (MANE)', 'XM_005268669.5', 'XM_017018862.2', 'XM_017018863.3', 'XM_017018864.2', 'XM_047428375.1']
TSPAN2	NC_000001.11	-	['NM_005725.6 (MANE)', 'NM_001308315.2', 'NM_001308316.2', 'XM_016999996.2']
TSPAN3	NC_000015.10	-	['NM_005724.6 (MANE)', 'NM_001168412.2', 'NM_198902.3', 'XM_017021857.2']
TSPAN31	NC_000012.12	+	['NM_005981.5 (MANE)', 'NM_001330168.2', 'NM_001330169.2', 'XM_024449123.2']
TSPAN32	NC_000011.10	+	['NM_139022.3 (MANE)', 'XM_005252719.5', 'XM_005252720.5', 'XM_011519815.4', 'XM_011519818.4', 'XM_011519819.2', 'XM_011519822.2', 'XM_017017064.2', 'XM_017017065.2', 'XM_017017066.2', 'XM_017017068.2', 'XM_017017069.2', 'XM_017017071.2', 'XM_047426209.1', 'XM_047426210.1', 'XM_047426211.1', 'XM_047426212.1', 'XM_047426213.1', 'XM_047426214.1', 'XM_047426215.1']
TSPAN33	NC_000007.14	+	['NM_178562.5 (MANE)', 'XM_006715960.4']
TSPAN4	NC_000011.10	+	['NM_003271.5 (MANE)', 'NM_001025234.2', 'NM_001025235.2', 'NM_001025236.2', 'NM_001025237.2', 'NM_001025238.2', 'NM_001025239.2', 'XM_005253102.2', 'XM_011520337.3', 'XM_011520338.2', 'XM_011520339.3', 'XM_011520340.3', 'XM_011520341.3']
TSPAN5	NC_000004.12	-	['NM_005723.4 (MANE)', 'XM_005262680.2', 'XM_047449472.1', 'XM_047449473.1', 'XM_047449475.1', 'XM_047449476.1', 'XM_047449477.1']
TSPAN6	NC_000023.11	-	['NM_003270.4 (MANE)', 'NM_001278740.2', 'NM_001278741.1', 'NM_001278742.1', 'NM_001278743.1', 'XM_011531018.2']
TSPAN7	NC_000023.11	+	['NM_004615.4 (MANE)']
TSPAN8	NC_000012.12	-	['NM_004616.3 (MANE)', 'NM_001369760.1']
TSPAN9	NC_000012.12	+	['NM_006675.5 (MANE)', 'NM_001168320.2', 'XM_011520912.4', 'XM_047428124.1', 'XM_047428125.1', 'XM_047428126.1', 'XM_047428127.1', 'XM_047428128.1', 'XM_047428129.1', 'XM_047428130.1']
TSPEAR	NC_000021.9	-	['NM_144991.3 (MANE)', 'NM_001272037.2']
TSPO	NC_000022.11	+	['NM_000714.6 (MANE)', 'NM_001256530.1', 'NM_001256531.1', 'XM_047441479.1']
TSPO2	NC_000006.12	+	['NM_001010873.3 (MANE)', 'NM_001159726.1', 'XM_011514396.3', 'XM_011514397.3']
TSPOAP1	NC_000017.11	-	['NM_004758.4 (MANE)', 'NM_001261835.2', 'NM_024418.3']
TSPY1	NC_000024.10	+	['NM_003308.4 (MANE)', 'NM_001197242.2', 'NM_001320964.2', 'XM_017030064.2']
TSPY10	NC_000024.10	+	['NM_001282469.3 (MANE)', 'NM_001320962.1', 'XM_017030025.2']
TSPY2	NC_000024.10	+	['NM_022573.4 (MANE)', 'XM_005262569.5', 'XM_017030062.2']
TSPY3	NC_000024.10	+	['NM_001077697.2 (MANE)', 'XM_005272742.5', 'XM_011544004.3']
TSPY4	NC_000024.10	+	['NM_001164471.2 (MANE)', 'XM_005272743.5', 'XM_017030065.2']
TSPY8	NC_000024.10	+	['NM_001243721.2 (MANE)', 'XM_005272744.5', 'XM_011544005.3']
TSPY9	NC_000024.10	+	['NM_001396063.1 (MANE)', 'XM_047442744.1']
TSPYL1	NC_000006.12	-	['NM_003309.4 (MANE)']
TSPYL2	NC_000023.11	+	['NM_022117.4 (MANE)', 'XM_006724592.5', 'XM_017029726.2', 'XM_017029727.2', 'XM_047442353.1']
TSPYL4	NC_000006.12	-	['NM_021648.5 (MANE)']
TSPYL5	NC_000008.11	-	['NM_033512.3 (MANE)']
TSPYL6	NC_000002.12	-	['NM_001003937.3 (MANE)']
TSR1	NC_000017.11	-	['NM_018128.5 (MANE)']
TSR2	NC_000023.11	+	['NM_058163.3 (MANE)', 'NM_001346789.2', 'NM_001346790.2', 'NM_001346791.2', 'NM_001346792.2']
TSR3	NC_000016.10	-	['NM_001001410.3 (MANE)']
TSSC4	NC_000011.10	+	['NM_005706.4 (MANE)', 'NM_001297658.2', 'NM_001297659.2', 'NM_001297660.2', 'NM_001297661.2', 'XM_006718118.3', 'XM_011519830.4', 'XM_047426216.1', 'XM_047426217.1', 'XM_047426218.1']
TSSK1B	NC_000005.10	-	['NM_032028.4 (MANE)']
TSSK2	NC_000022.11	+	['NM_053006.5 (MANE)']
TSSK3	NC_000001.11	+	['NM_052841.4 (MANE)']
TSSK4	NC_000014.9	+	['NM_001184739.2 (MANE)', 'NM_001308067.2', 'NM_174944.4', 'XM_011536663.3', 'XM_024449542.2']
TSSK6	NC_000019.10	-	['NM_032037.4 (MANE)']
TST	NC_000022.11	-	['NM_003312.6 (MANE)', 'NM_001270483.1']
TSTD1	NC_000001.11	-	['NM_001113207.2 (MANE)', 'NM_001113205.2', 'NM_001113206.2']
TSTD2	NC_000009.12	-	['NM_139246.5 (MANE)']
TTBK1	NC_000006.12	+	['NM_032538.3 (MANE)', 'XM_011514947.3', 'XM_011514948.3', 'XM_017011364.2', 'XM_017011365.2', 'XM_017011366.2', 'XM_017011367.2', 'XM_017011368.2']
TTBK2	NC_000015.10	-	['NM_173500.4 (MANE)', 'XM_005254171.6', 'XM_005254173.6', 'XM_006720402.5', 'XM_006720403.5', 'XM_017021950.3', 'XM_047432189.1', 'XM_047432190.1', 'XM_047432191.1', 'XM_047432192.1']
TTC1	NC_000005.10	+	['NM_003314.3 (MANE)', 'NM_001282500.2']
TTC12	NC_000011.10	+	['NM_017868.4 (MANE)', 'NM_001318533.2', 'NM_001352037.2', 'NM_001378063.1', 'NM_001378064.1', 'NM_001378065.1']
TTC13	NC_000001.11	-	['NM_024525.5 (MANE)', 'NM_001122835.3', 'NM_001376507.1', 'NM_001376508.1', 'NM_001376509.1', 'NM_001376510.1', 'NM_001376511.1', 'NM_001376512.1', 'NM_001376513.1', 'NM_001376514.1', 'XM_005273264.3', 'XM_006711814.3', 'XM_011544276.3', 'XM_047430306.1', 'XM_047430313.1', 'XM_047430332.1']
TTC14	NC_000003.12	+	['NM_133462.4 (MANE)', 'NM_001042601.3', 'NM_001288582.2', 'XM_017005739.3', 'XM_017005740.2', 'XM_047447484.1', 'XM_047447485.1']
TTC16	NC_000009.12	+	['NM_144965.3 (MANE)', 'NM_001317037.2', 'XM_011518283.3', 'XM_011518284.3', 'XM_011518285.3', 'XM_011518288.3', 'XM_011518290.3', 'XM_011518292.3', 'XM_011518293.3', 'XM_011518294.3', 'XM_011518295.2', 'XM_011518297.2', 'XM_011518298.4', 'XM_047422835.1', 'XM_047422836.1', 'XM_047422837.1', 'XM_047422838.1', 'XM_047422839.1', 'XM_047422840.1']
TTC17	NC_000011.10	+	['NM_018259.6 (MANE)', 'NM_001307943.2', 'NM_001376525.1', 'NM_001376526.1', 'NM_001376527.1', 'NM_001376528.1', 'XM_006718263.2', 'XM_011520218.3', 'XM_047427254.1', 'XM_047427255.1']
TTC19	NC_000017.11	+	['NM_017775.4 (MANE)', 'NM_001271420.2', 'XM_017024801.3', 'XM_017024802.3', 'XM_024450814.2']
TTC21A	NC_000003.12	+	['NM_001366900.1 (MANE)', 'NM_001105513.3', 'NM_001366899.1', 'NM_145755.3', 'XM_005264921.6', 'XM_005264922.6', 'XM_005264924.6', 'XM_005264925.6', 'XM_005264926.6', 'XM_005264927.5', 'XM_006713011.5', 'XM_011533447.4', 'XM_011533449.3', 'XM_017005843.3', 'XM_024453382.2', 'XM_047447647.1', 'XM_047447648.1', 'XM_047447649.1', 'XM_047447650.1', 'XM_047447651.1', 'XM_047447652.1', 'XM_047447653.1', 'XM_047447654.1']
TTC21B	NC_000002.12	-	['NM_024753.5 (MANE)', 'XM_006712761.2', 'XM_011511871.4', 'XM_011511872.3', 'XM_017004967.2', 'XM_047445870.1']
TTC22	NC_000001.11	-	['NM_001114108.2 (MANE)', 'NM_017904.4', 'XM_011541671.3', 'XM_017001582.2']
TTC23	NC_000015.10	-	['NM_001288615.3 (MANE)', 'NM_001288616.3', 'NM_001353869.2', 'XM_011521927.3', 'XM_011521935.2', 'XM_011521936.2', 'XM_011521939.2', 'XM_017022518.2', 'XM_024450028.2', 'XM_047432952.1', 'XM_047432953.1', 'XM_047432954.1', 'XM_047432955.1', 'XM_047432956.1', 'XM_047432957.1', 'XM_047432958.1', 'XM_047432959.1', 'XM_047432960.1', 'XM_047432961.1', 'XM_047432962.1']
TTC23L	NC_000005.10	+	['NM_144725.4 (MANE)', 'NM_001317949.2', 'NM_001386169.1', 'NM_001386170.1', 'NM_001386171.1', 'NM_001386172.1', 'XM_011513984.4', 'XM_011513985.3', 'XM_011513987.4', 'XM_017009119.3', 'XM_017009120.3', 'XM_017009121.3', 'XM_017009122.3', 'XM_017009123.3', 'XM_017009124.3', 'XM_017009126.3', 'XM_047416824.1', 'XM_047416825.1', 'XM_047416826.1']
TTC24	NC_000001.11	+	['NM_001105669.4 (MANE)', 'XM_011509253.3', 'XM_011509254.3', 'XM_011509255.3', 'XM_047447969.1', 'XM_047447971.1', 'XM_047447973.1', 'XM_047447975.1', 'XM_047447977.1']
TTC27	NC_000002.12	+	['NM_017735.5 (MANE)', 'NM_001193509.2', 'XM_005264416.3', 'XM_011532958.3', 'XM_047444937.1']
TTC28	NC_000022.11	-	['NM_001145418.2 (MANE)', 'NM_001393403.1', 'NM_001393404.1', 'NM_001393405.1', 'XM_011530018.4', 'XM_011530019.3', 'XM_011530020.2', 'XM_011530021.4', 'XM_017028673.3', 'XM_047441214.1', 'XM_047441215.1']
TTC29	NC_000004.12	-	['NM_031956.4 (MANE)', 'NM_001300761.4', 'NM_001317806.3', 'XM_005263270.2', 'XM_006714335.2', 'XM_006714336.2', 'XM_006714339.3', 'XM_011532310.3', 'XM_047416240.1', 'XM_047416241.1', 'XM_047416242.1', 'XM_047416243.1']
TTC3	NC_000021.9	+	['NM_001330683.2 (MANE)', 'NM_001001894.3', 'NM_001320703.2', 'NM_001320704.2', 'NM_001330681.2', 'NM_001330682.2', 'NM_001353936.2', 'NM_001353937.2', 'NM_001353938.2', 'NM_003316.4']
TTC31	NC_000002.12	+	['NM_022492.6 (MANE)', 'NM_001376129.1', 'NM_001376130.1', 'NM_001376132.1', 'NM_001376133.1', 'NM_001376134.1', 'NM_001376135.1', 'NM_001376136.1', 'NM_001376137.1', 'NM_001376138.1', 'NM_001376139.1', 'NM_001376140.1', 'NM_001376141.1', 'NM_001376144.1', 'NM_001376145.1', 'XM_011533035.2', 'XM_047445417.1', 'XM_047445418.1', 'XM_047445419.1', 'XM_047445420.1', 'XM_047445421.1', 'XM_047445422.1', 'XM_047445423.1', 'XM_047445424.1']
TTC32	NC_000002.12	-	['NM_001008237.3 (MANE)']
TTC33	NC_000005.10	-	['NM_012382.3 (MANE)', 'XM_011514003.4']
TTC34	NC_000001.11	-	['NM_001242672.3 (MANE)']
TTC36	NC_000011.10	+	['NM_001080441.4 (MANE)', 'NM_001346096.2', 'NM_001346097.2', 'NM_001346098.2']
TTC38	NC_000022.11	+	['NM_017931.4 (MANE)', 'XM_011530260.4', 'XM_047441438.1', 'XM_047441439.1', 'XM_047441440.1']
TTC39A	NC_000001.11	-	['NM_001297663.2 (MANE)', 'NM_001080494.3', 'NM_001144832.2', 'NM_001297662.2', 'NM_001297664.1', 'NM_001297665.1', 'NM_001297666.1', 'NM_001297667.1', 'NM_001410793.1', 'XM_005270644.3', 'XM_006710471.3', 'XM_011541048.3', 'XM_011541049.3', 'XM_011541051.3', 'XM_011541052.3', 'XM_011541053.3', 'XM_011541054.3', 'XM_047449631.1', 'XM_047449632.1', 'XM_047449641.1', 'XM_047449644.1']
TTC39B	NC_000009.12	-	['NM_152574.3 (MANE)', 'NM_001168339.2', 'NM_001168340.2', 'NM_001168341.2', 'NM_001168342.2', 'XM_011517732.3', 'XM_017014312.2', 'XM_024447422.2', 'XM_024447423.2', 'XM_024447424.2', 'XM_024447425.2', 'XM_047422828.1', 'XM_047422829.1', 'XM_047422831.1']
TTC39C	NC_000018.10	+	['NM_001135993.2 (MANE)', 'NM_001243425.2', 'NM_001292030.2', 'NM_153211.4', 'XM_006722392.4', 'XM_011525814.4', 'XM_047437296.1', 'XM_047437297.1', 'XM_047437298.1']
TTC4	NC_000001.11	+	['NM_004623.5 (MANE)', 'NM_001291333.2']
TTC5	NC_000014.9	-	['NM_138376.3 (MANE)']
TTC6	NC_000014.9	+	['NM_001310135.5 (MANE)', 'NM_001368142.2', 'XM_011537431.3', 'XM_011537432.3', 'XM_017021254.2', 'XM_017021255.2', 'XM_017021256.2', 'XM_017021257.2', 'XM_047431332.1', 'XM_047431333.1', 'XM_047431334.1', 'XM_047431335.1', 'XM_047431336.1', 'XM_047431337.1']
TTC7A	NC_000002.12	+	['NM_020458.4 (MANE)', 'NM_001288951.2', 'NM_001288953.2', 'NM_001288955.2', 'XM_011532999.3', 'XM_011533000.4', 'XM_011533001.4', 'XM_017004524.2', 'XM_017004525.2', 'XM_017004526.2', 'XM_024453013.2', 'XM_047445145.1', 'XM_047445146.1', 'XM_047445147.1', 'XM_047445148.1', 'XM_047445149.1', 'XM_047445150.1']
TTC7B	NC_000014.9	-	['NM_001010854.2 (MANE)', 'NM_001320421.2', 'NM_001401365.1']
TTC8	NC_000014.9	+	['NM_144596.4 (MANE)', 'NM_001288781.1', 'NM_001288782.1', 'NM_001288783.1', 'NM_001366535.2', 'NM_001366536.2', 'NM_198309.3', 'NM_198310.3', 'XM_011536433.3', 'XM_011536434.3']
TTC9	NC_000014.9	+	['NM_015351.2 (MANE)']
TTC9B	NC_000019.10	-	['NM_152479.6 (MANE)', 'XM_017026368.2']
TTC9C	NC_000011.10	+	['NM_173810.4 (MANE)', 'NM_001318812.2', 'NM_001318813.2', 'NM_001318814.2', 'NM_001318815.2', 'NM_001318816.2', 'XM_047426827.1']
TTF1	NC_000009.12	-	['NM_007344.4 (MANE)', 'NM_001205296.2', 'XM_006717273.5', 'XM_047423838.1']
TTF2	NC_000001.11	+	['NM_003594.4 (MANE)', 'XM_017002550.3', 'XM_017002551.3', 'XM_017002552.3', 'XM_017002555.3', 'XM_047432135.1', 'XM_047432136.1', 'XM_047432139.1', 'XM_047432141.1', 'XM_047432143.1', 'XM_047432144.1', 'XM_047432147.1', 'XM_047432152.1', 'XM_047432155.1', 'XM_047432157.1', 'XM_047432161.1', 'XM_047432162.1']
TTI1	NC_000020.11	-	['NM_001303457.2 (MANE)', 'NM_014657.3', 'XM_011529114.3', 'XM_017028148.3', 'XM_047440606.1', 'XM_047440607.1', 'XM_047440608.1', 'XM_047440609.1', 'XM_047440610.1']
TTI2	NC_000008.11	-	['NM_001102401.4 (MANE)', 'NM_001265581.2', 'NM_001330505.3', 'NM_025115.5', 'XM_047422266.1']
TTK	NC_000006.12	+	['NM_003318.5 (MANE)', 'NM_001166691.2', 'XM_011536099.4', 'XM_011536100.4', 'XM_017011242.3']
TTL	NC_000002.12	+	['NM_153712.5 (MANE)', 'NM_001371712.1', 'XM_005263599.4', 'XM_011510665.3']
TTLL1	NC_000022.11	-	['NM_012263.5 (MANE)']
TTLL10	NC_000001.11	+	['NM_001130045.2 (MANE)', 'NM_001371649.1', 'NM_153254.3', 'XM_005244738.2', 'XM_017000906.2', 'XM_017000907.2', 'XM_017000908.2', 'XM_017000909.2', 'XM_017000910.3', 'XM_017000912.2', 'XM_047416841.1', 'XM_047416842.1', 'XM_047416843.1', 'XM_047416870.1', 'XM_047416882.1']
TTLL11	NC_000009.12	-	['NM_001139442.2 (MANE)', 'NM_001386831.1', 'NM_001386832.1', 'NM_001386833.1', 'NM_194252.3', 'XM_017014309.3', 'XM_047422825.1']
TTLL12	NC_000022.11	-	['NM_015140.4 (MANE)']
TTLL13	NC_000015.10	+	['NM_001396017.1 (MANE)']
TTLL2	NC_000006.12	+	['NM_031949.5 (MANE)', 'NM_001410948.1']
TTLL3	NC_000003.12	+	['NM_001387446.1 (MANE)', 'NM_001025930.5', 'NM_001366051.2', 'NM_001387447.1', 'NM_001387448.1', 'NM_001387449.1', 'NM_001387450.1', 'NM_001387451.1', 'NM_001387452.1', 'NM_001387453.1', 'NM_001387454.1', 'NM_001387455.1', 'NM_001387456.1', 'NM_001387457.1', 'NM_001387458.1', 'NM_001387459.1', 'NM_001387460.1', 'NM_001387461.1', 'NM_001387462.1', 'NM_001387463.1', 'NM_001387464.1', 'NM_001387465.1', 'NM_001387466.1', 'NM_001387467.1']
TTLL4	NC_000002.12	+	['NM_014640.5 (MANE)', 'XM_006712875.3', 'XM_017005387.2', 'XM_017005388.2', 'XM_017005390.2', 'XM_017005391.2', 'XM_047446450.1', 'XM_047446451.1', 'XM_047446452.1', 'XM_047446453.1', 'XM_047446454.1', 'XM_047446455.1', 'XM_047446456.1', 'XM_047446457.1', 'XM_047446458.1', 'XM_047446459.1']
TTLL5	NC_000014.9	+	['NM_015072.5 (MANE)']
TTLL6	NC_000017.11	-	['NM_001130918.3 (MANE)', 'NM_001366314.2', 'NM_173623.4', 'XM_017024491.3', 'XM_017024492.2', 'XM_017024493.3', 'XM_017024495.3', 'XM_047435803.1', 'XM_047435804.1', 'XM_047435805.1']
TTLL7	NC_000001.11	-	['NM_024686.6 (MANE)', 'NM_001350214.2', 'NM_001350215.2', 'XM_047430680.1', 'XM_047430686.1', 'XM_047430691.1', 'XM_047430700.1']
TTLL8	NC_000022.11	-	['NM_001350317.3 (MANE)', 'XM_024452172.1', 'XM_024452173.1', 'XM_024452174.1', 'XM_024452175.1', 'XM_024452176.1', 'XM_024452177.1', 'XM_047441179.1']
TTLL9	NC_000020.11	+	['NM_001008409.5 (MANE)', 'NM_001367620.2']
TTN	NC_000002.12	-	['NM_001267550.2 (MANE)', 'NM_133379.5 (MANE)', 'NM_001256850.1', 'NM_003319.4', 'NM_133378.4', 'NM_133432.3', 'NM_133437.4', 'XM_017004819.1', 'XM_017004820.1', 'XM_017004821.1', 'XM_017004822.1', 'XM_017004823.1', 'XM_024453095.1', 'XM_024453097.1', 'XM_024453098.1', 'XM_024453099.1', 'XM_024453100.2', 'XM_047445660.1', 'XM_047445661.1', 'XM_047445663.1', 'XM_047445665.1', 'XM_047445668.1']
TTPA	NC_000008.11	-	['NM_000370.3 (MANE)', 'NM_001413414.1', 'NM_001413415.1', 'NM_001413416.1', 'NM_001413417.1', 'NM_001413418.1']
TTPAL	NC_000020.11	+	['NM_001039199.3 (MANE)', 'NM_001261839.2', 'NM_024331.5', 'XM_011529043.4', 'XM_011529044.4', 'XM_011529045.4', 'XM_017028063.3', 'XM_024452000.2', 'XM_024452001.2', 'XM_047440481.1', 'XM_047440482.1', 'XM_047440483.1', 'XM_047440484.1', 'XM_047440485.1', 'XM_047440486.1', 'XM_047440487.1', 'XM_047440488.1', 'XM_047440489.1', 'XM_047440490.1', 'XM_047440491.1', 'XM_047440492.1', 'XM_047440493.1', 'XM_047440494.1']
TTR	NC_000018.10	+	['NM_000371.4 (MANE)']
TTYH1	NC_000019.10	+	['NM_020659.4 (MANE)', 'NM_001005367.3', 'NM_001201461.2']
TTYH2	NC_000017.11	+	['NM_032646.6 (MANE)', 'NM_001330453.2', 'NM_052869.1']
TTYH3	NC_000007.14	+	['NM_025250.3 (MANE)']
TUB	NC_000011.10	+	['NM_177972.3 (MANE)', 'NM_003320.5', 'XM_005253109.4', 'XM_011520344.3', 'XM_047427512.1', 'XM_047427513.1', 'XM_047427514.1', 'XM_047427515.1', 'XM_047427516.1', 'XM_047427517.1']
TUBA1A	NC_000012.12	-	['NM_006009.4 (MANE)', 'NM_001270399.2', 'NM_001270400.2']
TUBA1B	NC_000012.12	-	['NM_006082.3 (MANE)']
TUBA1C	NC_000012.12	+	['NM_032704.5 (MANE)', 'NM_001303114.1', 'NM_001303115.2', 'NM_001303116.2', 'NM_001303117.2']
TUBA3C	NC_000013.11	-	['NM_006001.3 (MANE)']
TUBA3D	NC_000002.12	+	['NM_080386.4 (MANE)']
TUBA3E	NC_000002.12	-	['NM_207312.3 (MANE)']
TUBA4A	NC_000002.12	-	['NM_006000.3 (MANE)', 'NM_001278552.2', 'XM_047445674.1']
TUBA4B	NC_000002.12	+	['NM_001355221.1 (MANE)']
TUBA8	NC_000022.11	+	['NM_018943.3 (MANE)', 'NM_001193414.2']
TUBAL3	NC_000010.11	-	['NM_024803.3 (MANE)', 'NM_001171864.2']
